GB_id,E_actual,E_predicted,Variance
5,280.708,338.64315630083,0.269085857928025
10,395.524,397.484509041072,0.291030841014066
19,335.53,353.306665927748,0.279933958665684
20,363.561,287.573274671159,0.282165632539508
21,373.856,376.088228167198,0.278700802842242
24,328.227,349.235846324519,0.279644143996429
25,415.36,396.033668401603,0.269496288998462
26,426.194,383.566599364072,0.266937432438399
35,381.069,381.716723435861,0.276530380830157
36,346.617,318.619423520575,0.285430047687127
38,379.432,364.524741441937,0.306253589560441
43,416.969,376.071683370338,0.276787070842382
47,404.827,390.862992734029,0.26124495755925
49,328.676,345.498679625392,0.279279958958553
52,373.916,373.834929642062,0.297126750458073
56,319.281,364.549829967886,0.277755158529248
58,382.09,378.717224918877,0.290254346367036
59,185.878,198.449683105789,0.286522285345865
60,414.962,404.221386510616,0.293111706157582
61,415.426,366.394839499073,0.270694354605753
64,317.204,318.745985805273,0.283072800413779
65,409.391,380.264519407668,0.272741152517749
69,412.534,401.175049948475,0.297474536462157
70,352.707,365.84242262647,0.277615333370053
75,424.735,384.649097887335,0.271443522882807
76,387.547,365.216748275838,0.290294148530204
78,271.929,300.50292892111,0.270861393402608
80,401.5,343.2127634236,0.270805109530554
87,346.125,360.967948986832,0.283205347671377
92,419.192,393.512218368502,0.281399261464307
98,316.617,357.895631112165,0.276494877365533
100,402.707,391.445998834159,0.288422989035066
102,298.261,342.497772685263,0.278473230909669
105,305.606,347.229320964285,0.273051771446131
106,362.625,332.95981213275,0.29469834956273
111,335.167,338.23460331392,0.296231010726512
113,365.037,380.486640039318,0.277057753157608
114,289.897,328.059010235322,0.268839795063432
119,347.674,368.633207198135,0.28592202387277
121,425.282,396.66842680927,0.291765680324504
127,400.27,364.367986870465,0.268437649461003
129,381.56,332.135997809964,0.27121067926452
130,371.656,382.326199560857,0.267440675439744
131,405.272,375.235698334165,0.289556793092169
132,352.917,348.442273294495,0.289602657377983
137,299.842,341.464177127706,0.279273702881492
138,362.011,368.587506725716,0.28296278355588
139,146.154,172.983900704233,0.297697146526115
142,217.2,268.458170233626,0.282592186639851
147,265.618,314.756411694737,0.279758247407714
148,243.185,260.365361615539,0.287207908841367
152,432.56,389.585407459148,0.278707002688933
157,225.22,247.552710530399,0.294536097091678
162,305.744,324.076978496175,0.300298953653388
163,391.836,385.47302005732,0.305351779187141
164,267.327,307.309581964216,0.293706198169211
169,176.388,189.922705047585,0.289469228156714
172,376.98,383.395415930588,0.292904600183942
173,347.03,373.681303006106,0.266549835069228
175,343.141,320.467847004167,0.288674825515655
180,302.131,353.80046622008,0.275660145879825
181,368.861,370.852466003163,0.296763941793095
184,412.025,379.178918084187,0.269752943886424
186,314.983,319.2488526379,0.280743737725613
189,152.282,192.40184385867,0.303770247233688
191,355.347,352.915018566103,0.285167217051626
192,412.218,380.167034718641,0.28004286246908
193,210.263,228.650422486877,0.295397458190931
194,357.682,284.711492054478,0.279424788132795
196,394.794,385.78832073292,0.297300802478141
198,250.179,274.385733953705,0.28022032958838
199,337.803,372.673126346881,0.274452002750244
202,403.791,373.300250738011,0.282641324141036
207,403.667,355.997907317325,0.285122573905397
208,404.856,402.462114156746,0.294729601249934
210,415.027,376.087028810522,0.275430868393326
214,364.232,367.73802504869,0.293883955737765
215,380.359,386.045670906888,0.263556215761545
218,417.699,404.048572991342,0.290117647913745
219,380.209,387.394622692458,0.265740272532569
223,392.191,390.842298457283,0.293181454383519
231,397.937,359.345757396188,0.266519425633665
232,406.047,397.134856008774,0.305097358359952
233,262.607,272.498745870981,0.280070678851794
237,324.406,352.103592405374,0.293259630264519
238,343.122,342.980148956397,0.288299843222975
251,232.449,259.043557885378,0.279918564653637
254,397.015,395.098169799149,0.287939691114818
258,235.629,259.386997875079,0.28470839237102
263,199.845,212.328383782191,0.288220703510075
267,269.698,281.194863011052,0.284260678708691
269,431.307,401.149529431672,0.277676823940482
271,371.478,313.159601238659,0.278186947809151
277,431.786,404.716054307875,0.277965085068913
278,357.269,386.252221821734,0.281822376284276
279,248.293,275.319596354822,0.297323540612646
283,318.462,347.362952788765,0.275034846845036
285,162.652,176.478050042489,0.287379852590712
287,164.217,183.901121521659,0.287115124965552
290,282.945,310.390119245301,0.269735969818384
